,conversation,power
122,"A: O_K, sure.
      uh, maybe the first thing to do is just to  count
B: and uh count co-occurrences and get probabilities for a discrete H_M_M
      cuz that'd be pretty simple because it's just - Say, if you had ten - ten events,
      uh that you were  counting,  uh each frame would only have a thousand possible  values  for these ten bits,
      and uh so you could make a table that would - say, if you had thirty-nine phone categories, that would be a thousand by thirty-nine, and just count the co-occurrences and divide them by the - the uh - uh uh occ- uh
      count the co-occurrences between the event and the phone and divide them by the number of occurrences of the phone, and that would give you the likelihood of the - of the event given the phone. And um then just use that in a very simple H_M_M and uh
      you could uh do phone recognition then and uh wouldn't have any of the issues of the uh training of the net or - I mean, it'd be on the  simple  side, but
      Mm-hmm.
A: uh
B: um
      you know, if - uh uh the example I was giving was that if - if you had um
      onset of voicing and - and end of voicing as being two kinds of events,
      then if you had those a- all marked correctly, and you counted co-occurrences, you should get it completely right.
      Mm-hmm.
A: So.
B: um -
      But you'd get all the  other  distinctions, you know, randomly  wrong.  I mean there'd be  nothing  to  tell  you that.
      So
      um
       uh
      If you just do this by counting, then you should be able to find out in a pretty straightforward way whether you have a sufficient uh set of events to - to do the kind of level of -  of uh classification of phones that you'd like.
      So that was - that was the idea. And then the other thing that we were discussing was - was um
      O_K, how do you get the - your  training  data.
      Mm-hmm.
",A
123,"A: Yeah, that was my -
      She was  good.  Litonya was  good.
B: Yeah? The uh - um, she w- she was  definitely  good in the sense that she - she showed us some of the weaknesses
A: Right.
B: and um
A: also the um -
       the fact that she was a  real  subject you know, is - is -
      Right.
B: Yeah, and - and - and - yeah and - and she took it seriously and stuff l- No, it was great.
      Yeah.
",A
124,"A: Yeah.
B: Um.
A: Was Hari on the -
B: on the phone?
      Yeah, sure.
A: O_K.
B: Well, it was mainly a discussion  between Hari and
",A
125,"A: So here - here I mean, I found that it's - if I changed the noise estimate I could get an improvement.
B: So that's - so it's something which I can actually pursue, is the noise estimate.
      Mm-hmm.
A: And -
B: Yeah, I think what you do is in - when - when you have the - the - this multi-condition training mode,
A: um
      then you have - then you can train models for the speech, for the words, as well as for the pauses
      where you really have
       all  information about the noise  available.
      Yeah.
B: And
",B
126,"A: um,
B: hertz.
      Although, you know, normally, I mean, the channel goes to
      four -
      four thousand. Right? So,
      um -
      And that actually helped,
      uh -
      Uh-huh.
A: uh,
B: a little bit.
      Um  and it didn't hurt on the males either. So,
      um -
      And I'm now,
      uh,
      trying
      the -
      Oh, and suddenly, also the v- the vocal tract length normalization only in the  test  se- on the  test  data.
      So, you can do vocal tract length normalization
      Yeah.
A: on the test data only or on both the training and the test.
B: And
      you expect it to help a  little  bit if you do it only on the  test,  and s- more if you do it on both training and test.
      Yeah.
",B
127,"A: Well.
B: And it works on T_I-digits and on SpeechDat-Car it doesn't work, and -
A: Yeah.
B: Mm-hmm.
A: Yeah. Well.
      But, you know, some problems are harder than others, and -
B: Mm-hmm.
",A
128,"A: eh
B: in the middle eh a zone of overlapping
      Mm-hmm.
A: with
B: mmm less energy
      and
      eh  come  with another speaker with high energy and the
      Mm-hmm.
A: overlapping zone
B: has
      eh less energy.
",B
129,"A: for the time  being.
B: Got it.
A: It's hard enough to
B: get it semantically and syntactically right and then - and get the constructions in their form and stuff.
      Yeah.
A: And, I don- I don't want you f-
B: feeling
      that you have to somehow meet all these  other  constraints.
      Right, O_K.
",A
130,"A: So the relevance of the speaker form here, s-
B: It's for labeling the extracted audio files.
A: Oh, O_K.
B: By speaker I_D and microphone type.
A: Wasn't like whether they were giving us permission to use their digits or something.
B: No, I spoke with Jane about that and we sort of decided that
",A
131,"A: Dennis Klatt was suggesting
B: uh the one way to uh deal with noisy speech is to add noise to  everything.
      Hmm!
A: So.  I mean, uh uh add moderate amount of noise
B: Oh!
A: to all data.
B: I  see.
",A
132,"A: Uh, O_K,
B: @@   So, uh,
A: then I guess th- the last thing I'd had on my -
B: my  agenda was just to hear - hear an update on
      what - what Jose has been doing, so  that's  -
      Uh-huh.
A: O_K.
      I have, eh,
      The result of my work during the last days.
      O_K.
B: Thank you for your information because I -
",A
133,"A: Um, and in  principle  you would  think  that the neural net would do
B: better
      at the  discriminant  part than L_D_A.
      Right.
A: Yeah. Well - y-
      Though, maybe  not.
B: Yeah.   Exactly.  I mean, we, uh - we were getting ready to do the tandem, uh, stuff for the Hub- five  system,
A: and, um, Andreas and I  talked  about it, and
      the idea w- the  thought  was, ""Well,
      uh, yeah, that i- you know - th- the neural net should be  better,  but we should at least have
      uh, a  number,  you know, to show that we did try the L_D_A
      in  place  of the neural net, so that we can
      Right.
B: you know, show a clear  path.  You know, that you have it  without  it, then you have the L_D_A, then you have the neural net, and you can see,
",A
134,"A: Of data?
B: training  data
A: Yeah.
B: or not, uh, the uh -
A: The best kind of number we have on the English uh -
      on
      near microphone only is - is uh three or four percent.
      Mm-hmm.
B: And uh it's significantly better than that, using
",B
135,"A: Uh, well that's  um  yeah
B: Hmm?
A: I mean, I think the question is ""Is there - is there some advantage?""
B: I mean, you could just take the best system and say that's the standard.
      But the thing is that if different systems are getting at good things, um, a- again within the constraint of the resources, if there's something simple that you can do
      Now for instance, uh, it's, I think, very reasonable to have a standard for the terminal's side and then for the server's side say, ""Here's a number of things that could be done.""
      So, um, everything that we did could probably just be added on to what Alcatel did, and i- it'd probably work pretty well with them, too.
      So, um, uh, that's one - one aspect of it.
      And then on the terminal's side, I don't know how much, um, memory and - and C_P_U it takes, but it seems like the filtering
      Uh, I mean, the V_A_D stuff they both had, right?
      And, um, so - and they both had some kind of on-line normalization, right?
      Uh, yeah.
A: Of sorts, yeah?
B: So - so, it seems like the main different there is the - is the, uh, filtering.
      And the filtering - I think if you can - shouldn't take a lot of memory to do that
      Uh, and I also wouldn't think the C_P_U, uh, would be much either for that part.
      So, if you can - if you can add those in  um  then, uh, you can cut the data rate in half.
      Yeah.
",A
136,"A: O_K? If you're talking about, say, twelfth - twelfth-order uh M_F_C_C's or something like that it's just way too much. You won't be able to  look  at it.
B: Yeah.
A: All you'll be able to do is put it into a classifier and see how well it does.
B: Yeah.
A: Whereas I think if you have things - if you pick one or two dimensional
B: things, or three of you have some very fancy display,
",A
137,"A: it's a stationary background plus some voices,
      Mm-hmm.
B: some speech
A: over it. And
      the other two are rather stationary also.
      Well, I - I think that
B: if you run it -
      Actually, you - maybe you remember this. When you - in - in the  old  experiments when you ran
      with the neural net only, and didn't have this side path,
      um, uh, with the - the pure features as well,
      Mm-hmm.
A: did it
B: make things  better  to have the neural net? Was it about the  same?
      Uh, w- i-
      It was -
",A
138,"A: which uh uh uh uh yield critical bands, and also experiments with release of masking,
      which actually tell you that something is happening  across  critical bands,  across  bands.
      And -
      Well how do you - how do you uh convert
B: this uh energy over time in a particular frequency band into a vector of numbers?
      It's uh uh uh I mean time T_zero is  one  number,
A: time t-
      Yeah but what's the number? Is it just the -
B: It's a spectral energy, logarithmic spectral energy, yeah.
A: it's just the amount of energy in that band from f- in that time interval.
B: Yes, yes.
",B
139,"A: Yeah.
B: All I'm saying is that,
A: it is useful to have that -
      the transcription of what was  really  said, and which syllables were reduced.
      Uh, if you're gonna add the features it's also useful to have some level of representation which is,
      is a reduced -
      it's a pronunciation variant,
      that currently the dictionaries don't give you because if you add them to the dictionary and you run recognition, you,
      Mm-hmm.
B: Right.
      you add confusion.
A: So people purposely don't add them.
      Right.
B: So it's useful to know which variant was -
",A
140,"A: it's not just an  information  retrieval system.
B: Right? So this i- this is where
      Clearly. Yes.
A: I think this - people are gonna have to think this through a bit more carefully.
B: Mm-hmm.
A: So, if it's  only  like in - in the - in the film and T_ V  thing,
B: O_K, you can do this. And you just get information and give it to people.
      But what happens when you actually get them  moving  and so forth and so on
      Yep.
",A
141,"A: Yeah. We're - This is session R_nineteen.
B: If you  say  so.
A: O_ K.  Do we have anything like an agenda? What's going on? Um.
      I guess um.
      So.
      One thing -
      Sunil's here for the summer?
B: Sunil's here for the summer, right.
A: Um, so, one thing is to talk about a kick off meeting
      maybe
      uh, and then just uh, I guess
      uh, progress reports individually, and then uh, plans
      for where we go between now and then, pretty much.
      Um.
      I could say a few words about um, some of the uh, compute stuff that's happening around here, so that people in the group know.
B: Mm-hmm.
",B
142,"A: Well, that's - Hhh.
      That's - that's al- different question. I mean, th- the - first, they had to make a  design  question,
      ""do we take ontologies that  have  instances? or just one that does  not,  that just has the types?""
      O_K.
B: And, so, since the d- decision was on  types,  on a d- simply type-based,
A: we now have to hook it up to  instances.
      I mean this is
      one -
      But what i- What  is    SmartKom  gonna do about that?
B: Cuz, they have instances  all  the  time.
      Yeah, but the ontology is really not a SmartKom
A: thing,
      in - in and of itself. That's more something that
       I  kicked loose
      in - in E_M_L. So it's a completely E_M_L
      thing.
      But -
B: Uh - uh -  SmartKom's  gonna  need  an ontology.
      Yes, u- a w- a lot of people are aware of that.
",A
143,"A: Yeah. But again, you're - you're  more  or less doing what they were  doing,  right?
B: It's - it's different in a sense like I'm actually cleaning up the cleaned up spectrum which they're not doing.
A: They're d- what they're doing is, they have two stage - stages of estimating the Wiener filter,
      Yeah.
B: but -
A: the final filter, what they do is they -
      they take it to their time domain by doing an inverse Fourier transform.
      Uh-huh.
B: And they filter the original signal using that fil- filter,
",A
144,"A: O_K. What w-
B: Well, for the moment we are testing on digits, and e- i- perhaps u- using broad phoneme classes, it's - it's O_K for um, uh classifying the digits, but
A: as soon as you will have more words,
      well, words can differ with only a single phoneme, and -
      which could be the same, uh, class. Well.
      I see.
B: So.
A: Right. Although, you are not using this for the - You're using this for the  feature  generation, though, not the -
B: So, I'm  afraid  -
",A
145,"A: Well, we can find out. I know for instance  Mark  Liberman was interested uh in - in L_D_C getting  data, uh, and -
      Right, that's the found data idea. But what I'm saying is uh if I talk to people that I know who  do  these th- who  produce  these things we could ask them if they could record an extra channel,
B: Yeah.
A: let's say, of a distant  mike.
B: Mm-hmm.
A: And u- I think  routinely  they would not  do  this.
B: So, since I'm interested in the distant  mike  stuff, I wanna make sure that there is at least  that   somewhere
      Right.  Great . O_K.
",A
146,"A: Um, I missed the beginning, but, um
B: I guess - could you back to the slide, the  previous  one? So, is it that it's, um -
      These are all factors that uh, a-
      These are the ones that you said that we are going to  ignore  now? or that we want to
      take into account? You were saying
      n-
       Take  them into  account.
A: Take the - the linguistic factors  too.
B: But - but you  don't  worry about - h-
A: Oh, how to  extract  these features. O_K.
B: how to  extract   them.
",B
147,"A: So, what we're  really  trying to do
B: is to map from the  discourse
      to the  conceptual  semantics level.
      And from  there
      to the appropriate  decisions.
      So  another  one of these primitive,
      Mm-hmm.
A: what are called "" image  schemas"",
B: is uh  goal  seeking.
      So this a notion of a source,
      Mm-hmm.
A: path, goal,
B: trajector, possibly obstacles.
      And the idea is this is another conceptual  primitive.
      And that all  sorts  of things,  particularly  in the tourist domain, can be represented in  terms  of uh source, path and goal. So the idea would be could we build an  analyzer  that would take an  utterance
      Mm-hmm.
",A
148,"A: um,
B: Hmm.
A: change what they  are  -
B: Mm-hmm.
A: It's diagonal  covariance  matrices, but you
B: say what those  variances  are.
      Mm-hmm.
",A
149,"A: Well Guenter is already - he got the job uh already was working on it for past two years or three years -
B: Mm-hmm.
A: he got a job uh at some - some Fachschule, the technical college not too far from Aachen.
B: Hmm!
A: So it's like professor - u- university professor
B: Mm-hmm.
",A
150,"A: And then we have sort of the um
      Let's say I put commercial.
B: Yeah, I w- I was just gonna commercial action inside
A: where people p-
      Well  couldn't I  do - let's do commercial
B: uh
      landmark
      and
      And where was the
A: Well
B: accessible, yeah.
",A
